question,answer
自助开户后如何补办三方存管？,您好，手机开户后发现银行卡未绑定成功，开户成功后可以在交易日9:00-16:00通过以下途径重新绑定银行卡： 1、易淘金APP-我-业务办理-业务办理-自助开户三方存管补办；（绑定同一银行或不同银行的银行卡均可） 2、广发证券官网-易淘金-登录账号-广发通中心-业务中心-业务办理-证券账户类-自助开户三方存管补办。（暂不支持改绑其他银行的银行卡，可以绑同一银行的其他银行卡） 注：若重新绑定的银行卡是相同银行的，T+1查询绑定结果；若是不同银行的，T日查询绑定结果。三方存管补办
转账失败的原因？,您好，人民币转账失败的常见原因有： 1、三方存管状态是否正常（可联系开户营业部或95575查询）； 2、是否密码输错（转入用银行卡密码，转出用资金密码）； 3、余额不足(如T日卖出A股，T+1才可转出)； 4、转帐方向是否有误； 5、转账时间不正确（转账时间是交易日9:00-16:00，部分银行可能会提前，可在15:00前转账） 6、参与了现金增利业务，需要操作赎回，方能转出资金。 具体请您查看转账错误提示，根据错误提示进行排查，如无法解决，请联系95575转9人工。
证券转银行为什么转不了？,证券转银行转不出首先看报错，由于不知道具体报错，可查看几点：1可取资金是否够，当日卖出的资金可用不可取；2.如果需要资金密码是否密码有误；3、证券转银行的时间一般是交易日的9点至16点，是否在此期间内。如果都不是，建议询问营业部能查到转账流水失败原因的
佣金与手续费的区别？,您好，佣金是证券交易手续费的一种。一般情况下，股票的交易手续费是包含佣金、印花税和过户费；其中交易佣金：最高不超过成交金额的3‰(双边)，实际以营业部设置为准；印花税：按成交金额的1‰收取，仅向卖出方收取；过户费：按成交金额0.02‰收取。
银证转账的时间？,银证转账要在股市开市的时间段才可以，一般可以转账的时间是周一至周五9:00-16:00，有些银行是15:00前。非交易时间是不允许这样做的，另外，当天卖出股票后，也需要到第二个交易日才能够把股票账户内的资金转出到银行，而从银行转账到股票账户也需要在相应的之内。
信用证券账户可以注销后重新开户吗？,可以。需注意注销信用账户的前提条件： 1、信用证券账户已了结全部融资融券交易； 2、信用证券账户上无任何股份余额； 3、信用证券账户资金余额为零。 4、没有融资融券交易待交收等在途业务； 5、未发生其它有关交易交收违约行为。若满足条件，请持本人有效身份证件明文件原件、信用证券账户卡原件、三方存管银行资料在交易时间回开户营业部办理，一般两个工作日内可销户成功，具体情况以营业部的流程为准，注销信用账户后，您也可以再重新开立信用账户。
信用证券账户卡遗失应如何处理？,您好，如果您信用证券账户卡遗失，可以携带所需资料在交易时间到开户营业部办理，信用证券账户卡补办有以下业务规定： 1、已开立对应信用证券账户的上海普通证券账户、上海信用证券账户不可办理挂失，但可办理普通及信用证券账户卡的补办手续。 2、深圳信用证券账户及其普通证券账户可直接办理挂失。 3、上海\深圳市场投资者办理信用证券账户补办业务，只能向与其建立对应关系的普通证券账户登记的证券公司申请。 4、信用证券账户补办业务不允许代办。 5、挂失补办原号：10元（个人、机构一样）；挂失补办新号：视同新开户。
信用账户资金无法转出的原因,通常是由于账户中有负债情况的存在导致的。如无负债可取资金是可以转出的，如存在负债的，转出资金前提是需要账户中的维持担保比例大于300%，且将资金转出后维持担保比例不低于300%，只能转取大于300%的部分。
信用账户销户条件？,融资融券销户有以下前提条件： 1、信用证券账户已了结全部融资融券交易； 2、信用证券账户上无任何股份余额； 3、信用证券账户资金余额为零； 4、没有融资融券交易待交收等在途业务； 5、未发生其它有关交易交收违约行为。
信用账户三方存管的银行有哪些？,您好，目前已开通信用三方存管业务的银行包括工商银行、农业银行、中国银行、交通银行、招商银行、建设银行、广发银行、兴业银行、中信银行、浦发银行、中国平安银行、上海银行、民生银行、光大银行、中国邮政储蓄银行、宁波银行，共16家。详细银行名单请留意相关更新公告。
信用账户如何申购新股？,您好，您可以通过以下菜单操作信用账户新股申购： 1、手机易淘金：可通过交易-信用-担保品买入； 2、WEB交易系统：股票-融资融券-新股申购-新股申购或批量新股申购（提供一键申购功能）； 3、金融终端：股票-信用-新股申购-新股申购或新股批量申购（提供一键申购功能）； 4、至诚版：股票-信用-信用新股申购-信用新股申购或信用批量新股申购（提供一键申购功能）； 5、至易版：新股IPO-勾选申购的新股，点击申购（在上方切换为信用账户后操作）。 （温馨提示：同一投资者对同一只新股只能申购一次）
信用账户如何查询新股申购额度？,信用账户的新股申购额度可通过金融终端、至易版、WEB交易系统、电脑至诚版等软件查询，具体操作如下： 1、广发证券金融终端：（信用账户）信用-新股申购-新股申购额度查询； 2、广发证券至诚版：（信用账户）信用-信用新股申购-新股额度查询； 3、广发证券web交易系统：（信用账户）融资融券-新股申购-新股申购额度查询； 4、广发证券至易版:（信用账户）新股-深市配额、沪市配额（点击上方进行普通账户和信用账户切换）。 温馨提示：新股额度查询时间为新股发行当天即可查询。
信用账户如何操作配债？,您可以使用“信用—担保品卖出”菜单操作信用账户配债，具体操作要点如下： 1、信用账户持有的证券进行配债，只能在信用账户进行操作，不能将信用账户的配债权证转到普通账户去操作，且必须使用自有资金操作。 2、对于同时具有配债和发债的债券发行，在信用账户中您可以操作“原股东”优先配售的部分（建议使用“担保品卖出”菜单操作），即进行配债操作，也可以在信用账户中以“社会公众”的身份申购网上发债部分（使用“担保品买入”菜单操作）。
信用账户如何操作配股？,您可以使用“信用—担保品卖出”菜单操作信用账户配股。信用账户持有的证券进行配股，只能在信用账户进行操作，不能将信用账户的配股权证转到普通账户去操作，且都必须使用自有资金操作。
信用账户卖出证券得到现金想自动偿还负债，怎么办？,您好，"如果客户愿意每日将账户现金自动偿还其融资负债、以减少利息支出的，可向营业部申请开通“日终自动归还融资负债”功能，若开通此功能后，客户每日现金余额都将自动偿还其融资负债。如需开通此功能请务必谨慎，客户账面只要有现金余额就会用来还债，可能影响客户的担保品买入操作。客户若要申请开通此功能，可携带身份证原件在交易时间亲临营业部现场办理，详情请咨询所属营业部。
信用账户可以网上开通吗？,您好，我司目前暂没有开通网上开融资融券账户的功能。如果客户满足条件要开融资融券账户，必须携带本人有效身份证和银行卡到开户营业部临柜办理。
信用账户可以交易哪些股票？,您好，您可以用自有资金交易担保品范围内的证券；也可以融资买入、融券卖出标的范围的证券。
信用账户可以购买非标的证券吗？,信用账户买入分为担保品买入和融资买入，担保品买入是使用自有资金买入担保品范围的证券；而融资买入是融资金买入融资标的范围内的证券。
信用账户可以购买ST股票吗？,融资融券账户一般不能购买风险警示股票（ST、*ST），如果您需要担保品买入请留意广发证券担保证券范围，如果您需融资买入请留意广发证券融资标的范围，需要是对应范围内的证券才可交易。
信用账户可以操作要约收购吗？,您好，信用账户不能操作申报要约收购，在满足担保品转出条件的情况下（维持担保比例大于300%以上的部分才能转出，转出后维持担保比例不得低于300%），需将标的股票转至普通账户申报预受要约。 （温馨提示：担保品划转T+1生效）
信用账户可以参与逆回购吗？,"您好,融资融券账户不可以参与逆回购。"
信用账户开通条件,您若是个人投资者，那么开通融资融券账户需满足以下条件： 1、在任何一家券商首笔交易满6个月； 2、征信前20个交易日日均证券类资产不低于50万元（含现金、股票、债券、基金、证券公司资产管理计划等资产）； 3、年龄在18-60岁之间； 4、已在广发证券开立实名普通证券交易账户。满足相应开通条件您本人携带二代身份证件交易时间前往开户营业部柜台临柜办理，建议先行致电营业部咨询可能需要携带的其他开户资料。温馨提示：信用账户开户费40元/户。上海和深圳市场共80元。
信用账户开立后何时生效？,"上海和深圳信用证券账户T日开立,T+1日生效。"
信用账户交易允许市价委托吗？,"信用账户交易中融券卖出不能使用市价委托,其他例如融资买入、担保品买入、担保品卖出等可以使用市价委托。"
信用账户对应银行的券商代码？,"您好,目前我司信用账户绑定三方存管的券商代码为工行10230000、建行117、其他银行10239999。"
信用账户的现金资产为何不能进行新股中签款缴款？,您好，信用账户新股中签缴款要看是否有可买担保品资金，不能单看现金资产，因为信用账户内的现金包括融券卖出应冻结的（仅用于买券还券的那部分现金）和持仓股份分红未到账的那部分红利资金。
信用账户的使用限制,"您好,信用账户使用有以下限制:信用证券账户不得用于买入或转入除担保物及证券交易所公布的标的证券范围以外的证券。同时,信用证券账户也不得用于债券回购交易。"
信用账户的股票可以申购ETF基金吗？,融资融券账户的股票不能作为组合证券来申购ETF基金份额。
信用账户持有的股票如何行使投票权？,"您好,如您有参与投票意愿,请您提前5个工作日向开户营业部申请。"
新三版股票转让的计价单位？,新三板股票转让的计价单位为“每股价格”。股票转让的申报价格最小变动单位为0.01元人民币。
新三板做市转让的申报规则？,您好，新三板做市转让的申报规则如下： 一、做市商应最迟于每个转让日的9:30开始发布买卖双向报价，履行做市报价义务。做市商每个转让日提供双向报价的时间应不少于做市转让撮合时间的75%。 二、做市商每次提交做市申报应当同时包含买入价格与卖出价格，且相对买卖价差不得超过5%。相对买卖价差计算公式为： 相对买卖价差=（卖出价格-买入价格）÷卖出价格×100% 卖出价格与买入价格之差等于最小价格变动单位的，不受前款限制。 三、做市商提交新的做市申报后，前次做市申报的未成交部分自动撤销。 四、做市商前次做市申报撤销或其申报数量经成交后不足1000股的，做市商应于5分钟内重新报价。 五、做市商持有库存股票不足1000股时，可以免于履行卖出报价义务。出现前款所述情形，做市商应及时向全国股份转让系统公司报告并调节库存股票数量，并最迟于该情形发生后第3个转让日恢复正常双向报价。 六、单个做市商持有库存股票达到挂牌公司总股本20%时，可以免于履行买入报价义务。出现前款所述情形，做市商应及时向全国股份转让系统公司报告，并最迟于该情形发生后第3个转让日恢复正常双向报价。
新三板有哪些指数？,新三板的指数主要有以下两类： 1、全国中小企业股份转让系统成分指数（简称三板成指，股份代码：899001）； 2、全国中小企业股份转让系统做市成分指数（简称三板做市，股份代码：899002）。
新三板协议转让有哪些成交情况？,新三板协议转让成交规则如下： 1、每个转让日的 9:30 至11:30、13:00 至 15:00 为协议转让的成交确认时间； 2、每个转让日15:00 ，全国股份转让系统按照时间优先原则，将证券代码和申报价格相同、买卖方向相反的未成交定价申报进行匹配成交； 3、成交确认申报与定价申报可以部分成交。成交确认申报的股票数量小于定价申报的，以成交确认申报的股票数量为成交股数数量；成交确认申报股数数量大于定价申报的，以定价申报的股票数量为成交股票数量，成交确认申报未成交部分以撤单处理。
新三板协议转让的成交规则？,新三板协议转让成交规则如下： 1、每个转让日的 9:30 至11:30、13:00 至 15:00 为协议转让的成交确认时间； 2、每个转让日15:00 ，全国股份转让系统按照时间优先原则，将证券代码和申报价格相同、买卖方向相反的未成交定价申报进行匹配成交； 3、成交确认申报与定价申报可以部分成交。成交确认申报的股票数量小于定价申报的，以成交确认申报的股票数量为成交股数数量；成交确认申报股数数量大于定价申报的，以定价申报的股票数量为成交股票数量，成交确认申报未成交部分以撤单处理。
新三板市场是如何披露信息？,您好，新三板适用适度信息披露原则，即要求低于主板、创业板，最基本的要求是披露经审计的年报和重大事项临时报告。具体情况可登陆全国中小企业股份转让系统查看，网址是http:\\www.neeq.com.cn\
新三板上市的股票可以转到主板交易吗？,新三板上市的股票暂时还没有转到主板的先例，如果上市公司需要在主板上市，需要符合主板上市的需求，并且向交易所提出相关申请。具体需要以上市公司公告为准。
新三板权限开通流程？,您好，如您满足新三板开通条件，请携带有效身份证件交易时间临柜签署新三板权限开通文件，开通“报价股份转让”权限。 温馨提示：T日开通，T+1日可以交易。
新三板企业的限售期？,您好，挂牌公司控股股东及实际控制人在挂牌前直接或间接持有的股票分三批解除转让限制，每批解除转让限制的数量均为其挂牌前所持股票的三分之一，解除转让限制的时间分别为挂牌之日、挂牌期满一年和两年。挂牌前十二个月以内控股股东及实际控制人直接或间接持有的股票进行过转让的，该股票的管理按照前款规定执行，主办券商为开展做市业务取得的做市初始库存股票除外。因司法裁决、继承等原因导致有限售期的股票持有人发生变更的，后续持有人应继续执行股票限售规定。 详情请查看《全国中小企业股份转让系统业务规则（试行）》。
新三板可以做融资融券交易吗？,新三板（股份报价转让股份）目前暂不能开展融资融券业务。
新三板交易时间？,新三板交易时间为每个交易日上午9：15至11：30 、下午13：00至15：00。其中，9:15-9:30交易系统只收单、不处理。遇法定节假日和其他特殊情况，暂停转让。
新三板挂牌申请需要多少时间？,您好，根据我们的经验，从合同签署到完成挂牌，按企业的规模、资料的完整性、经营的规范程度等，一般在3-6个月，具体如下：拟挂牌企业了解新三板市场，企业决策挂牌新三板选择中介机构：先确定券商，再由券商推荐会计及律师事务所或者由企业自行聘请股份改制：1-3月尽职调查、制作挂牌备案材料、内核：1-3月中国证券业协会备案审查。
新三板股票转让交易有哪些费用？,新三板转让交易费用主要包括以下几类： 1、交易佣金:广发证券默认设置为成交金额的1.5‰(双边)，原则上不优惠，实际以营业部设置为准（股转系统规定：最高不超过成交金额的3‰）。 2、印花税:成交金额的1‰，仅向卖出方收取。 3、股份过户费:成交金额的0.025‰(双边))； 4、转让经手费:成交金额的0.5‰(双边)； 5、结算费:成交金额的0.1‰(双边)，暂免收取。
新三板股票协议转让的申报类型？,新三板协议转让的申报类型包括：意向申报（暂不支持）、定价申报和成交确认申报。定价申报：是指投资者委托主办券商按其指定的价格买卖不超过其指定数量股份的指令。成交确认申报：是指投资者买卖双方达成成交协议，或投资者拟与定价委托成交，委托主办券商以指定价格和数量与指定对手方确认成交的指令。
新三板股票申报价格是否有涨跌幅限制？,您好，新三板不设涨跌幅限制，但您若以协议转让方式申报，申报价格会有有效价格申报范围，详情如下： 申报价格应当不高于前收盘价的200%且不低于前收盘价的50%，超出该有效价格范围的申报无效；无前收盘价的，成交首日不设申报有效价格范围，自次一转让日起设置申报有效价格范围。
新三板股票清算交收规则？,新三版股票清算交收规则和A股一样：T日卖出挂牌公司股份，资金T日可用，T+1可取；T日买入挂牌公司股份，T+1日可申报卖出。
新三板股票进行交易的系统有哪些？,您好，您可通过柜台、WEB交易、网上交易、手机易淘金（Iphone版）方式进行新三板转让委托。 网上交易需下载最新版的网上交易至强版、融资融券至诚版或融资融券客户端、金融终端。 详细情况请以最新软件版本展示为准。
新三板股票的即时行情包含哪些要素？,新三板即时行情显示规则如下： 1、每个转让日的即时行情内容主要包括前收盘价、最近成交价、当日最高成交价、当日最低成交价、当日累计成交数量以及意向申报和定价申报的价格、数量、成交约定号等。 2、全国股份转让系统公司每天公布当日的所有成交信息，内容包括证券代码、证券简称、成交价格、成交数量、买卖双方主办券商证券交易单元名称等。股票转让公开信息涉及机构专用交易单元的，公布名称为“机构专用”。
新三板股票的编码规则？,您好，《全国中小企业股份转让系统证券代码、证券简称编制管理暂行办法》自2014年5月19日起正式实施后，新申请挂牌的拟挂牌公司普通股票或者已申请挂牌但尚未分配证券代码的拟挂牌公司普通股票将使用83开头的证券代码号段。《暂行办法》正式实施前已挂牌的挂牌公司普通股票或者尚未挂牌但已分配证券代码的拟挂牌公司普通股票，继续使用43开头的证券代码。交易支持平台上线并平稳运行之后，全国中小企业股份转让系统有限责任公司将组织启动证券代码切换工作，转换规则为：首两位转换为83，后四位保持不变。具体安排另行通知。
新三板股价变动单位？,新三板股票转让的计价单位为每股价格；转让申报价格最小变动单位为0.01元人民币。
新三板的投资者有哪些？,新三板投资者资格划分为合格投资者与受限投资者。投资者资格不同则需要开通不同的权限。其中： 1、您若符合开通条件，可以临柜开通新三板合格投资者权限，交易的股票不受限制。 2、您若不符合开通条件的，但已持有或曾持有过挂牌公司股份，可以临柜开通新三板受限投资者权限，开通后仅能交易已持有或曾持有过挂牌公司的股份； 3、您若尚未开通任何权限，但通过其他方式（原始股东、继承、赠予、司法划转）已持有挂牌公司股份，仅可卖出，不可再次买入该证券和其他新三板证券。
新股中签如何缴款？,您好，您若有新股中签，需在新股缴款日当日16:00前在中签账户中留有足额的可用资金即可，具体划扣操作是由系统自动操作。 温馨提示：1、过期缴款无效，新股中签缴款不收取手续费。2、新股缴款日一般都是T+2日，T为申购日。
新股中签会有短信通知吗？,您好，新股中签后，我司会有短信提醒，请确保登记的手机号码是准确的。另外，也可以关注广发证券官方微信（微信号：gf95575），在官微上绑定账户后，如果申购的新股中签了，会收到新股中签提醒，包括新股名称、中签股数等（此提醒会包含信用账户的新股中签）。
新股中签后股份何时上市？,您好，新股中签后何时上市请以上市公司公告为准。
